t,x1,y1,vx1,vy1,x2,y2,vx2,vy2,E
2.456000000000000,-0.540330411440173,0.049312091606301,-0.088225427024368,-0.465898302481045,0.540330411440173,-0.049312091606301,0.088225427024368,0.465898302481045,-0.696685057838643
2.457000000000000,-0.540418636867197,0.048846193303820,-0.087379724049043,-0.465975483742192,0.540418636867197,-0.048846193303820,0.087379724049043,0.465975483742192,-0.696683994565576
2.458000000000000,-0.540506016591246,0.048380217820078,-0.086534096785433,-0.466051916474084,0.540506016591246,-0.048380217820078,0.086534096785433,0.466051916474084,-0.696682931554442
2.459000000000000,-0.540592550688032,0.047914165903604,-0.085688544503440,-0.466127601114635,0.540592550688032,-0.047914165903604,0.085688544503440,0.466127601114635,-0.696681868802623
2.460000000000000,-0.540678239232535,0.047448038302489,-0.084843066473103,-0.466202538097325,0.540678239232535,-0.047448038302489,0.084843066473103,0.466202538097325,-0.696680806307502
2.461000000000000,-0.540763082299008,0.046981835764392,-0.083997661964598,-0.466276727851212,0.540763082299008,-0.046981835764392,0.083997661964598,0.466276727851212,-0.696679744066467
2.462000000000000,-0.540847079960973,0.046515559036540,-0.083152330248232,-0.466350170800934,0.540847079960973,-0.046515559036540,0.083152330248232,0.466350170800934,-0.696678682076909
2.463000000000000,-0.540930232291221,0.046049208865740,-0.082307070594450,-0.466422867366716,0.540930232291221,-0.046049208865740,0.082307070594450,0.466422867366716,-0.696677620336219
2.464000000000000,-0.541012539361816,0.045582785998373,-0.081461882273827,-0.466494817964379,0.541012539361816,-0.045582785998373,0.081461882273827,0.466494817964379,-0.696676558841796
2.465000000000000,-0.541094001244089,0.045116291180408,-0.080616764557070,-0.466566023005341,0.541094001244089,-0.045116291180408,0.080616764557070,0.466566023005341,-0.696675497591037
2.466000000000000,-0.541174618008647,0.044649725157403,-0.079771716715017,-0.466636482896628,0.541174618008647,-0.044649725157403,0.079771716715017,0.466636482896628,-0.696674436581346
2.467000000000000,-0.541254389725362,0.044183088674506,-0.078926738018636,-0.466706198040875,0.541254389725362,-0.044183088674506,0.078926738018636,0.466706198040875,-0.696673375810127
2.468000000000000,-0.541333316463380,0.043716382476466,-0.078081827739021,-0.466775168836336,0.541333316463380,-0.043716382476466,0.078081827739021,0.466775168836336,-0.696672315274790
2.469000000000000,-0.541411398291119,0.043249607307629,-0.077236985147398,-0.466843395676888,0.541411398291119,-0.043249607307629,0.077236985147398,0.466843395676888,-0.696671254972744
2.470000000000000,-0.541488635276267,0.042782763911952,-0.076392209515113,-0.466910878952036,0.541488635276267,-0.042782763911952,0.076392209515113,0.466910878952036,-0.696670194901403
2.471000000000000,-0.541565027485782,0.042315853033000,-0.075547500113643,-0.466977619046921,0.541565027485782,-0.042315853033000,0.075547500113643,0.466977619046921,-0.696669135058184
2.472000000000000,-0.541640574985895,0.041848875413953,-0.074702856214587,-0.467043616342322,0.541640574985895,-0.041848875413953,0.074702856214587,0.467043616342322,-0.696668075440507
2.473000000000000,-0.541715277842110,0.041381831797611,-0.073858277089665,-0.467108871214664,0.541715277842110,-0.041381831797611,0.073858277089665,0.467108871214664,-0.696667016045794
2.474000000000000,-0.541789136119200,0.040914722926396,-0.073013762010721,-0.467173384036024,0.541789136119200,-0.040914722926396,0.073013762010721,0.467173384036024,-0.696665956871468
2.475000000000000,-0.541862149881210,0.040447549542360,-0.072169310249721,-0.467237155174134,0.541862149881210,-0.040447549542360,0.072169310249721,0.467237155174134,-0.696664897914958
2.476000000000000,-0.541934319191460,0.039980312387186,-0.071324921078749,-0.467300184992389,0.541934319191460,-0.039980312387186,0.071324921078749,0.467300184992389,-0.696663839173694
2.477000000000000,-0.542005644112539,0.039513012202194,-0.070480593770007,-0.467362473849848,0.542005644112539,-0.039513012202194,0.070480593770007,0.467362473849848,-0.696662780645107
2.478000000000000,-0.542076124706309,0.039045649728344,-0.069636327595816,-0.467424022101246,0.542076124706309,-0.039045649728344,0.069636327595816,0.467424022101246,-0.696661722326635
2.479000000000000,-0.542145761033905,0.038578225706243,-0.068792121828614,-0.467484830096991,0.542145761033905,-0.038578225706243,0.068792121828614,0.467484830096991,-0.696660664215713
2.480000000000000,-0.542214553155733,0.038110740876146,-0.067947975740951,-0.467544898183177,0.542214553155733,-0.038110740876146,0.067947975740951,0.467544898183177,-0.696659606309783
2.481000000000000,-0.542282501131474,0.037643195977963,-0.067103888605495,-0.467604226701581,0.542282501131474,-0.037643195977963,0.067103888605495,0.467604226701581,-0.696658548606287
2.482000000000000,-0.542349605020080,0.037175591751261,-0.066259859695026,-0.467662815989677,0.542349605020080,-0.037175591751261,0.066259859695026,0.467662815989677,-0.696657491102670
2.483000000000000,-0.542415864879775,0.036707928935271,-0.065415888282434,-0.467720666380631,0.542415864879775,-0.036707928935271,0.065415888282434,0.467720666380631,-0.696656433796379
2.484000000000000,-0.542481280768057,0.036240208268891,-0.064571973640721,-0.467777778203314,0.542481280768057,-0.036240208268891,0.064571973640721,0.467777778203314,-0.696655376684865
2.485000000000000,-0.542545852741698,0.035772430490687,-0.063728115042999,-0.467834151782302,0.542545852741698,-0.035772430490687,0.063728115042999,0.467834151782302,-0.696654319765580
2.486000000000000,-0.542609580856741,0.035304596338905,-0.062884311762487,-0.467889787437883,0.542609580856741,-0.035304596338905,0.062884311762487,0.467889787437883,-0.696653263035978
2.487000000000000,-0.542672465168503,0.034836706551467,-0.062040563072515,-0.467944685486059,0.542672465168503,-0.034836706551467,0.062040563072515,0.467944685486059,-0.696652206493516
2.488000000000000,-0.542734505731576,0.034368761865981,-0.061196868246514,-0.467998846238555,0.542734505731576,-0.034368761865981,0.061196868246514,0.467998846238555,-0.696651150135654
2.489000000000000,-0.542795702599822,0.033900763019743,-0.060353226558022,-0.468052270002819,0.542795702599822,-0.033900763019743,0.060353226558022,0.468052270002819,-0.696650093959852
2.490000000000000,-0.542856055826380,0.033432710749740,-0.059509637280684,-0.468104957082028,0.542856055826380,-0.033432710749740,0.059509637280684,0.468104957082028,-0.696649037963573
2.491000000000000,-0.542915565463661,0.032964605792658,-0.058666099688242,-0.468156907775093,0.542915565463661,-0.032964605792658,0.058666099688242,0.468156907775093,-0.696647982144285
2.492000000000000,-0.542974231563349,0.032496448884883,-0.057822613054543,-0.468208122376662,0.542974231563349,-0.032496448884883,0.057822613054543,0.468208122376662,-0.696646926499453
2.493000000000000,-0.543032054176404,0.032028240762506,-0.056979176653533,-0.468258601177128,0.543032054176404,-0.032028240762506,0.056979176653533,0.468258601177128,-0.696645871026549
2.494000000000000,-0.543089033353057,0.031559982161329,-0.056135789759259,-0.468308344462627,0.543089033353057,-0.031559982161329,0.056135789759259,0.468308344462627,-0.696644815723043
2.495000000000000,-0.543145169142817,0.031091673816866,-0.055292451645863,-0.468357352515046,0.543145169142817,-0.031091673816866,0.055292451645863,0.468357352515046,-0.696643760586410
2.496000000000000,-0.543200461594462,0.030623316464351,-0.054449161587585,-0.468405625612027,0.543200461594462,-0.030623316464351,0.054449161587585,0.468405625612027,-0.696642705614127
2.497000000000000,-0.543254910756050,0.030154910838739,-0.053605918858762,-0.468453164026971,0.543254910756050,-0.030154910838739,0.053605918858762,0.468453164026971,-0.696641650803669
2.498000000000000,-0.543308516674909,0.029686457674712,-0.052762722733821,-0.468499968029040,0.543308516674909,-0.029686457674712,0.052762722733821,0.468499968029040,-0.696640596152518
