t,x,v
0.313,0.0622428,0.468975
0.314,0.0627129,0.47014
0.315,0.0631842,0.471288
0.316,0.0636566,0.472421
0.317,0.0641302,0.473537
0.318,0.0646048,0.474638
0.319,0.0650805,0.475722
0.32,0.0655573,0.47679
0.321,0.0660352,0.477841
0.322,0.066514,0.478875
0.323,0.0669939,0.479893
0.324,0.0674748,0.480894
0.325,0.0679567,0.481877
0.326,0.0684395,0.482844
0.327,0.0689233,0.483793
0.328,0.0694081,0.484725
0.329,0.0698937,0.48564
0.33,0.0703802,0.486537
0.331,0.0708677,0.487416
0.332,0.0713559,0.488278
0.333,0.0718451,0.489122
0.334,0.072335,0.489948
0.335,0.0728258,0.490755
0.336,0.0733173,0.491545
0.337,0.0738096,0.492316
0.338,0.0743027,0.493068
0.339,0.0747965,0.493803
0.34,0.075291,0.494518
0.341,0.0757862,0.495215
0.342,0.0762821,0.495893
0.343,0.0767787,0.496552
0.344,0.0772759,0.497192
0.345,0.0777737,0.497813
0.346,0.0782721,0.498414
0.347,0.0787711,0.498997
0.348,0.0792706,0.49956
0.349,0.0797707,0.500103
0.35,0.0802714,0.500627
0.351,0.0807725,0.501131
0.352,0.0812741,0.501615
0.353,0.0817762,0.502079
0.354,0.0822787,0.502523
0.355,0.0827817,0.502948
0.356,0.083285,0.503352
0.357,0.0837888,0.503735
0.358,0.0842929,0.504099
0.359,0.0847973,0.504442
0.36,0.0853021,0.504764
0.361,0.0858071,0.505066
0.362,0.0863125,0.505347
0.363,0.0868181,0.505607
0.364,0.0873239,0.505846
0.365,0.08783,0.506065
0.366,0.0883363,0.506262
0.367,0.0888427,0.506438
0.368,0.0893493,0.506593
0.369,0.089856,0.506727
0.37,0.0903629,0.506839
0.371,0.0908698,0.50693
0.372,0.0913768,0.506999
0.373,0.0918838,0.507046
0.374,0.0923909,0.507072
0.375,0.092898,0.507077
0.376,0.093405,0.507059
0.377,0.0939121,0.507019
0.378,0.094419,0.506957
0.379,0.0949259,0.506874
0.38,0.0954327,0.506768
0.381,0.0959393,0.50664
0.382,0.0964458,0.506489
0.383,0.0969521,0.506317
0.384,0.0974582,0.506122
0.385,0.0979641,0.505904
0.386,0.0984698,0.505664
0.387,0.0989752,0.505401
0.388,0.0994803,0.505115
0.389,0.0999851,0.504807
0.39,0.10049,0.504476
0.391,0.100994,0.504122
0.392,0.101497,0.503745
0.393,0.102001,0.503345
0.394,0.102504,0.502922
0.395,0.103006,0.502476
0.396,0.103508,0.502007
0.397,0.10401,0.501515
0.398,0.104511,0.500999
0.399,0.105011,0.50046
0.4,0.105511,0.499897
0.401,0.10601,0.499311
0.402,0.106509,0.498702
0.403,0.107007,0.498069
0.404,0.107505,0.497413
0.405,0.108001,0.496732
0.406,0.108497,0.496028
0.407,0.108993,0.495301
0.408,0.109487,0.494549
0.409,0.109981,0.493774
0.41,0.110474,0.492975
0.411,0.110966,0.492152
0.412,0.111457,0.491305
0.413,0.111948,0.490434
0.414,0.112437,0.489539
0.415,0.112926,0.48862
0.416,0.113414,0.487677
0.417,0.1139,0.486709
0.418,0.114386,0.485718
0.419,0.114871,0.484702
0.42,0.115354,0.483662
0.421,0.115837,0.482598
0.422,0.116319,0.481509
0.423,0.116799,0.480396
0.424,0.117278,0.479259
0.425,0.117756,0.478097
0.426,0.118233,0.476911
0.427,0.118709,0.4757
0.428,0.119183,0.474465
0.429,0.119657,0.473205
0.43,0.120129,0.471921
0.431,0.120599,0.470613
0.432,0.121068,0.469279
0.433,0.121536,0.467921
0.434,0.122003,0.466539
0.435,0.122468,0.465132
0.436,0.122932,0.4637
0.437,0.123394,0.462243
0.438,0.123855,0.460762
0.439,0.124314,0.459256
0.44,0.124772,0.457726
0.441,0.125228,0.45617
0.442,0.125682,0.45459
0.443,0.126135,0.452985
0.444,0.126587,0.451356
