t,x,v
0.395,0.103346,0.504867
0.396,0.103851,0.504403
0.397,0.104355,0.503915
0.398,0.104858,0.503404
0.399,0.105361,0.502869
0.4,0.105863,0.502312
0.401,0.106365,0.50173
0.402,0.106866,0.501125
0.403,0.107367,0.500496
0.404,0.107867,0.499844
0.405,0.108366,0.499167
0.406,0.108864,0.498467
0.407,0.109362,0.497744
0.408,0.109859,0.496996
0.409,0.110355,0.496224
0.41,0.110851,0.495428
0.411,0.111345,0.494609
0.412,0.111839,0.493765
0.413,0.112332,0.492897
0.414,0.112824,0.492005
0.415,0.113315,0.491089
0.416,0.113805,0.490148
0.417,0.114294,0.489184
0.418,0.114782,0.488194
0.419,0.11527,0.487181
0.42,0.115756,0.486143
0.421,0.116241,0.485081
0.422,0.116725,0.483994
0.423,0.117208,0.482883
0.424,0.117689,0.481748
0.425,0.11817,0.480588
0.426,0.118649,0.479403
0.427,0.119128,0.478194
0.428,0.119605,0.47696
0.429,0.12008,0.475701
0.43,0.120555,0.474418
0.431,0.121028,0.47311
0.432,0.1215,0.471777
0.433,0.12197,0.47042
0.434,0.122439,0.469038
0.435,0.122907,0.467631
0.436,0.123373,0.4662
0.437,0.123838,0.464743
0.438,0.124301,0.463262
0.439,0.124763,0.461756
0.44,0.125223,0.460225
0.441,0.125682,0.458669
0.442,0.126139,0.457088
0.443,0.126594,0.455483
0.444,0.127048,0.453852
0.445,0.1275,0.452197
0.446,0.127951,0.450517
0.447,0.1284,0.448811
0.448,0.128847,0.447081
0.449,0.129292,0.445326
0.45,0.129735,0.443546
0.451,0.130177,0.441742
0.452,0.130617,0.439912
0.453,0.131055,0.438057
0.454,0.131491,0.436177
0.455,0.131926,0.434273
0.456,0.132358,0.432343
0.457,0.132788,0.430389
0.458,0.133217,0.42841
0.459,0.133643,0.426405
0.46,0.134068,0.424376
0.461,0.13449,0.422322
0.462,0.13491,0.420244
0.463,0.135328,0.41814
0.464,0.135744,0.416011
0.465,0.136158,0.413858
0.466,0.13657,0.41168
0.467,0.136979,0.409477
0.468,0.137387,0.407249
0.469,0.137792,0.404996
0.47,0.138194,0.402719
0.471,0.138595,0.400417
0.472,0.138993,0.39809
0.473,0.139389,0.395739
0.474,0.139782,0.393363
0.475,0.140173,0.390962
0.476,0.140561,0.388537
0.477,0.140947,0.386087
0.478,0.141331,0.383613
0.479,0.141712,0.381114
0.48,0.142091,0.37859
0.481,0.142467,0.376042
0.482,0.14284,0.37347
0.483,0.143211,0.370873
0.484,0.143579,0.368252
0.485,0.143945,0.365607
0.486,0.144308,0.362937
0.487,0.144668,0.360243
0.488,0.145026,0.357525
0.489,0.145381,0.354783
0.49,0.145733,0.352016
0.491,0.146082,0.349226
0.492,0.146428,0.346411
0.493,0.146772,0.343572
0.494,0.147112,0.34071
0.495,0.14745,0.337824
0.496,0.147785,0.334913
0.497,0.148117,0.331979
0.498,0.148446,0.329021
0.499,0.148772,0.32604
0.5,0.149095,0.323035
0.501,0.149415,0.320006
0.502,0.149732,0.316954
0.503,0.150046,0.313878
0.504,0.150357,0.310779
0.505,0.150665,0.307656
0.506,0.150969,0.30451
0.507,0.15127,0.301341
0.508,0.151569,0.298149
0.509,0.151863,0.294933
0.51,0.152155,0.291695
0.511,0.152444,0.288433
0.512,0.152729,0.285149
0.513,0.153011,0.281841
0.514,0.153289,0.278511
0.515,0.153564,0.275158
0.516,0.153836,0.271783
0.517,0.154104,0.268385
0.518,0.154369,0.264964
0.519,0.154631,0.261521
0.52,0.154889,0.258056
0.521,0.155144,0.254568
0.522,0.155395,0.251059
0.523,0.155642,0.247527
0.524,0.155886,0.243973
0.525,0.156126,0.240397
